guna_word;spanish_word;synonyms
Mergi;Estadounidense;Estadounidense, , , , 
Mergineg;Estados Unidos;Estados Unidos, , , , 
Mese;Mesa;Escritorio 
Mesed;Acostar;Recostar, Colocar, , , 
Miamagged;Buscar;Hurgar, Indagar, Escrutar, , 
Miamia;Mirar;Mirar de un lado a otro
Abargi;En la mitad;
Ali;apretado;No cabe, , , , 
Mied;Botar;Tirar, Lanzar, , , 
Migu;Tetilla ;
Mima;Lima;
Mimmi;Hijito;Hijita, Bebé, , , 
Mir;Sábalo;
Mila;Sábalo;
Mirwa;Bilis;
Misi;Gato;Felino, , , , 
Mo;También;
Alilla;Apretado;Ceñido, , , , 
Moga;También;
Moe;Zapallo;
Moed;Llegar;Arrimarse, Lograr, Vover a unir, , 
Warmagged;Llegar;Arrimarse, , , , 
Mogir;Nube;Nubarrón, , , , 
Moli;tapir;Caballo, Vaca, , , 
Molidub;correa ;correa de cuero 
Moliduba;Correa;belt
Molulu;Pez cofre;pez cofre 
Mommogwa;Débil; delicado
Alillagwa;Apretado;Ceñido, , , , 
Nollogwa;Débil;Adormilado, , , , 
Mommor;Mariposa;Polilla, Palomilla, , , 
Sussua;Mariposa;
Mommormagged;Agitar las alas ;
Mor;Atuendo;Ropa, Vestido, Blusa de mujer, , 
Mola;Atuendo;Ropa, Vestido, Blusa de mujer, , 
Morbaddon;Botón;
Morbeb;Cambombia;Molusco, , , , 
Morbebe;Cambombia;
Moresued;Desvertirse;Quitarse la ropa, , , , 
Allagwayee;Expresión de dolor;
Morunged;Desvestirse;Quitarse la ropa, , , , 
Morgaed;Horquilla;
Morgaug;Jabón;Detergente, , , , 
Morgo;Retazo;Sobras de tela, , , , 
Morgoa;Retazo;Sobras de tela, , , , 
Morgoro;Huevo de tortuga;
Uggubsan;Huevo de tortuga;
Uggubmileged;Huevo de tortugas;
Mormagged;Coser;
Mormaggedub;Hilo de coser;
Mormaggeduba;Hijo de coser;
Allayee;Expresión de dolor;
Mormaggediggo;Aguja;
Mormorsaed;Sacudir;Quitar polvo,  Refiere a telas, , , 
Mornun;Ropa gastada;Ropa usada, , , , 
Moro;Tortuga verde;
Morogoi;Tortuga de monte;Morrocoyo, , , , 
Yarmoro;Tortuga de monte;
Morsagu;Bolsillo;
Morsuwar;Palo de tender ropa;
Morsuwala;Palo de tender ropa;
Ay;expresión de dolor;
Morunged;Desvertirse;Quitar la ropa, , , , 
Moresued;Desvertirse;
Moryoed;Vestirse;
Muddig;Noche;
Muddiggude;Anochese;
Muddu;Cera negra;
Mudsubmudsub;Mutuamente;Reciprocamente, , , , 
Mued;Hincharse;Inflarse, Llenarse, , , 
Engued;Llenarse;Inflarse, , , , 
Mui;Cadaver;Muerto, , , , 
Alled;Reir;Carcajarse, , , , 
Muidar;Mujerzuela;
Muigwale;Abatimiento;Depresión, , , , 
Muisgwa;Próximo;Cerca, , , , 
Iddaggagwa;Próximo;Cerca, , , , 
Iddiggigwa;Próximo;Cerca, , , , 
Mula;Gallinazo;Buitre, , , , 
Mullusuli;Extenso;Estirado, Muy largo,  No corto, , 
Suidi;Extenso;
Mummud;Borracho;Ebrio, Planta alucinogena, , , 
Mururmuru;Aspero;Tosco, , , , 
Alu;Pene;Miembro viril, , , , 
Musele;Pez cochino;Pejepuerco, , , , 
Orwaib;Pez cochino;Pejepuerco, , , , 
Mussigwa;Breve;Corto, , , , 
Sorgwagwa;Breve;Corto, , , , 
Usgwagwa;Breve;Corto, , , , 
Giale;Breve;Corto, , , , 
Meddoggwagwa;Bfeve;Corto, , , , 
Muswe;Pañuelo de la cabeza;
Dunued;Pañuelo de la cabeza;
Muu;Abuela;
Wana;Pene;
Muuggwa;Enmohecido;
Muu;Abuela;
Nanseredi;Abuela;anciana 
Muubilli;Mar;Oceano, , , , 
Demar;Mar;Oceano, , , , 
Muudummad;Bisabuela;
Muuggwa;Anciana;Vieja, Veterana, , , 
Muyamagged;Cojear;
Muyamuyad;Cojo;
Alugwag;Testículo;
Yagguyaggud;Cojo;
Na;Maraca;Sonajero, , , , 
Nasis;Maraca;Sonajero, , , , 
Na yobi;Igual;Como, , , , 
Yobi;Igual;Como, , , , 
Emala;Igual;Como, , , , 
Na;Hola;Que tal, , , , 
Anna;Hola;Que tal, , , , 
Degidde;Hola;Que tal, , , , 
Naba;Calabaza;Palma de jira, Cerca, Al lado, , 
Abalagi;En el medio;
Alugwagwa;Testículo;
Nabayargan;Pez ronco;
Nabba;Tierra;Suelo, Sitio donde se vive, , , 
Nabbanega;Tierra;Suelo, Sitio donde se vive, , , 
Nabbagiid;Color chocolate;Marrón, , , , 
Sabgaaled;Color chocolate;marrón, , , , 
Nabbanono;Conejo pintado;
Sule;Conejo Pintado;
Nabbi;Más ;
Gaddig;Mucho;
Gaddiggi;Mucho mas ;
Ambala;No ha cambiado;Lo mismo, , , , 
nabbibileged;la ultima palabra ;Letra, , , , 
nabbibilegeddummad;Letra mayúscula;
Nabbinusa;Ultimo de los hijos;Ultimo amamantado, , , , 
Nabbiragwa;Verídico;Cierto, Evidente, Fehaciente, , 
Nabbiragwad;Verdad;Es verdad, Es cierto, , , 
